 입력   작업시간
 0   0.000000
 10   0.000000
 20   0.000000
 30   0.000000
 40   0.000000
 50   0.000000
 60   0.000000
 70   0.000000
 80   0.000000
 90   0.000000
 100   0.000000
 200   0.001000
 300   0.001000
 400   0.002000
 500   0.003000
 600   0.004000
 700   0.006000
 800   0.008000
 900   0.012000
 1000   0.014000
 1100   0.016000
 1200   0.063000
 1300   0.023000
 1400   0.033000
 1500   0.038000
 1600   0.028000
 1700   0.041000
 1800   0.044000
 1900   0.053000
 2000   0.053000
 2000   0.041000
