 입력   작업시간   반복횟수
 0   0.000000     8373479
 10   0.000000     3230020
 20   0.000000     1164815
 30   0.000000     550903
 40   0.000000     332711
 50   0.000000     261973
 60   0.000000     156798
 70   0.000000     123240
 80   0.000000     96951
 90   0.000000     73485
 100   0.000000     59953
 200   0.000000     17850
 300   0.000000     8212
 400   0.000000     4599
 500   0.000000     2906
 600   0.000000     2121
 700   0.000000     1538
 800   0.000000     1125
 900   0.001000     934
 1000   0.002000     749
 1100   0.002000     630
 1200   0.003000     544
 1300   0.002000     434
 1400   0.003000     394
 1500   0.004000     345
 1600   0.004000     292
 1700   0.004000     264
 1800   0.004000     242
 1900   0.006000     218
 2000   0.005000     191
